Transaction_ID,Date,Customer_ID,Customer_Age_Group,City,Region,Store_ID,Category,Product_Name,Brand,Quantity,Unit_Price_INR,Discount_Percent,Total_Amount_INR,Payment_Method,High_Discount_Flag,Gross_Revenue,Discount_Amount,Month,Quarter,Week,Revenue_Per_Unit,Is_Digital
TXN000001,2023-12-13,CUST9935,18-25,Chennai,South,STORE038,Dairy & Eggs,Milk,EcoFresh,8,342.58,0,2740.64,Cash,False,2740.64,0.0,12,4,50,342.58,False
TXN000002,2023-10-15,CUST4257,55+,Bangalore,South,STORE027,Fruits & Vegetables,Banana,GreenLeaf,8,762.98,0,6103.84,UPI,False,6103.84,0.0,10,4,41,762.98,True
TXN000003,2023-05-23,CUST3547,26-35,Hyderabad,South,STORE049,Grains & Pulses,Oats,TopBrand,6,1050.23,15,5356.17,Cash,False,6301.38,945.21,5,2,21,892.695,False
TXN000004,2023-01-23,CUST8527,55+,Mumbai,West,STORE008,Dairy & Eggs,Cream,EcoFresh,12,1272.77,10,13745.92,Cash,False,15273.24,1527.3199999999997,1,1,4,1145.4933333333333,False
TXN000005,2023-01-24,CUST4733,36-45,Lucknow,North,STORE006,Cleaning Supplies,Toilet Cleaner,GreenLeaf,12,870.25,0,10443.0,Cash,False,10443.0,0.0,1,1,4,870.25,False
TXN000006,2023-04-18,CUST5374,18-25,Ahmedabad,West,STORE039,Frozen Foods,Frozen Corn,HomeChoice,12,252.35,15,2573.97,Net Banking,False,3028.2,454.23,4,2,16,214.49749999999997,False
TXN000007,2023-12-17,CUST6313,18-25,Ahmedabad,West,STORE015,Meat & Seafood,Mutton Chops,FreshMart,13,412.22,5,5090.92,Debit Card,False,5358.860000000001,267.9400000000005,12,4,50,391.60923076923075,True
TXN000008,2023-04-19,CUST9179,46-55,Mumbai,West,STORE042,Frozen Foods,Frozen Corn,ValueBuy,7,1370.57,15,8154.89,Credit Card,False,9593.99,1439.0999999999995,4,2,16,1164.9842857142858,True
TXN000009,2023-10-26,CUST7543,36-45,Bangalore,South,STORE015,Beverages,Green Tea,HomeChoice,18,813.08,20,11708.35,Net Banking,True,14635.44,2927.09,10,4,43,650.463888888889,False
TXN000010,2023-12-15,CUST7916,55+,Hyderabad,South,STORE005,Personal Care,Conditioner,EcoFresh,4,237.73,0,950.92,UPI,False,950.92,0.0,12,4,50,237.73,True
TXN000011,2023-12-15,CUST2876,55+,Jaipur,North,STORE049,Grains & Pulses,Black Beans,PureLife,9,1456.91,0,13112.19,Debit Card,False,13112.19,0.0,12,4,50,1456.91,True
TXN000012,2023-09-14,CUST3927,55+,Pune,West,STORE007,Dairy & Eggs,Paneer,PureLife,6,686.05,10,3704.67,Net Banking,False,4116.299999999999,411.6299999999992,9,3,37,617.445,False
TXN000013,2023-11-03,CUST6310,46-55,Delhi,North,STORE002,Grains & Pulses,Chickpeas,NatureBest,12,1146.14,0,13753.68,Debit Card,False,13753.68,0.0,11,4,44,1146.14,True
